Path,Truth
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57310.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058309.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027921.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54533.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09275.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/060345.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027567.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077761.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022544.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092611.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20013.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058028.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57727.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037088.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092059.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058792.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022405.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08086.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/060430.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077363.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09780.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009659.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037101.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12493.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11475.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54184.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32996.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09261.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008143.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32172.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009682.png,0
